title,artist,album,cover,file
Endereço,Jorge Vercillo,Endereço,endereco.webp,endereco.mp3
Que Nem Maré,Jorge Vercillo,Elo,elo.webp,que_nem_mare.mp3
O Reino Das Águas Claras,Jorge Vercillo,Elo,elo.webp,o_reino_das_aguas_claras.mp3
Ela Une Todas As Coisas,Jorge Vercillo,Todos Nós Somos Um,todos_nos_somos_um.webp,ela_une_todas_as_coisas.mp3
Monalisa,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.webp,monalisa.mp3
Homem-Aranha,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.webp,homem_aranha.mp3
Final Feliz,"Jorge Vercillo, Djavan",Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.webp,final_feliz.mp3
Invisível,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.webp,invisivel.mp3
Melhor Lugar,Jorge Vercillo,Jorge Vercilo Ao Vivo,jorge_vercilo_ao_vivo.webp,melhor_lugar.mp3
Sensível Demais,Jorge Vercillo,Como Diria Blavatsky,como_diria_blavatsky.webp,sensivel_demais.mp3
