title,artist,album,cover,file
Será,Legião Urbana,Legião Urbana,legiao_urbana.webp,sera.mp3
Ainda É Cedo,Legião Urbana,Legião Urbana,legiao_urbana.webp,ainda_e_cedo.mp3
Geração Coca-Cola,Legião Urbana,Legião Urbana,legiao_urbana.webp,geracao_cocacola.mp3
Que País É Este,Legião Urbana,Que País É Este,que_pais_e_este.webp,que_pais_e_este.mp3
Eu Sei,Legião Urbana,Que Pais E Este,que_pais_e_este.webp,eu_sei.mp3
Há Tempos,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,ha_tempos.mp3
Meninos E Meninas,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,meninos_e_meninas.mp3
Se Fiquei Esperando Meu Amor Passar,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,se_fiquei_esperando_meu_amor_passar.mp3
Sete Cidades,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,sete_cidades.mp3
Pais E Filhos,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,pais_e_filhos.mp3
Quando O Sol Bater Na Janela Do Teu Quarto,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,quando_o_sol_bater_na_janela_do_teu_quarto.mp3
Eu Era Um Lobisomem Juvenil,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,eu_era_um_lobisomem_juvenil.mp3
Maurício,Legião Urbana,As Quatro Estações,as_quatro_estacoes.webp,mauricio.mp3
Tempo Perdido,Legião Urbana,Dois,dois.webp,tempo_perdido.mp3
Eduardo E Mônica,Legião Urbana,Dois,dois.webp,eduardo_e_monica.mp3
Quase Sem Querer,Legião Urbana,Dois,dois.webp,quase_sem_querer.mp3
Daniel Na Cova Dos Leões,Legião Urbana,Dois,dois.webp,daniel_na_cova_dos_leoes.mp3
Andrea Doria,Legião Urbana,Dois,dois.webp,andrea_doria.mp3
Índios,Legião Urbana,Dois,dois.webp,indios.mp3
O Mundo Anda Tão Complicado,Legião Urbana,Legiao Urbana V,legiao_urbana_v.webp,o_mundo_anda_tao_complicado.mp3
O Teatro Dos Vampiros,Legião Urbana,Legiao Urbana V,legiao_urbana_v.webp,o_teatro_dos_vampiros.mp3
Vento No Litoral,Legião Urbana,Legiao Urbana V,legiao_urbana_v.webp,vento_no_litoral.mp3
Giz,Legião Urbana,O Descobrimento Do Brasil,o_descobrimento_do_brasil.webp,giz.mp3
