title,artist,album,cover,file
Morena,Luan Santana,MORENA,morena.webp,morena.mp3
Acordando O Prédio,Luan Santana,Acordando o Prédio,acordando_o_predio.webp,acordando_o_predio.mp3
Sorria,"Luan Santana, Mc Don Juan",SORRIA,sorria.webp,sorria.mp3
Chuva de Arroz,Luan Santana,Acústico (Ao Vivo),acustico_ao_vivo.webp,chuva_de_arroz.mp3
Asas,Luan Santana,ASAS,asas.webp,asas.mp3
Cê Vai Perder Essa Mulher,Luan Santana,VIVA (Ao Vivo),viva_ao_vivo.webp,ce_vai_perder_essa_mulher.mp3
Àgua Com Açúcar,Luan Santana,VIVA (Ao Vivo),viva_ao_vivo.webp,agua_com_acucar.mp3
Boa Memória,Luan Santana,VIVA (Ao Vivo),viva_ao_vivo.webp,boa_memoria.mp3
"Dia, Lugar e Hora",Luan Santana,"Dia, Lugar e Hora - Single",dia_lugar_e_hora__single.webp,dia_lugar_e_hora.mp3
2050,Luan Santana,2050,2050.webp,2050.mp3
Mesmo Sem Estar,"Luan Santana, Sandy",1977,1977.webp,mesmo_sem_estar.mp3
Fantasma,"Luan Santana, Marília Mendonça",1977,1977.webp,fantasma.mp3
"Eu, Você, o Mar e Ela",Luan Santana,1977,1977.webp,eu_voce_o_mar_e_ela.mp3
Por Te Amar Assim,Luan Santana,Confraternização Família Santana 1,confraternizacao_familia_santana_1.webp,por_te_amar_assim.mp3
Te Esperando,Luan Santana,Te Esperando - Single,te_esperando__single.webp,te_esperando.mp3
Você De Mim Não Sai,Luan Santana,Quando Chega a Noite (Ao Vivo),quando_chega_a_noite_ao_vivo.webp,voce_de_mim_nao_sai.mp3
Incondicional,Luan Santana,Quando Chega a Noite (Ao Vivo),quando_chega_a_noite_ao_vivo.webp,incondicional.mp3
Um Beijo,Luan Santana,Ao Vivo No Rio,ao_vivo_no_rio.webp,um_beijo.mp3
Sogrão Caprichou,Luan Santana,O Nosso Tempo É Hoje (ao Vivo),o_nosso_tempo_e_hoje_ao_vivo.webp,sograo_caprichou.mp3
Tudo o Que Você Quiser,Luan Santana,O Nosso Tempo É Hoje (ao Vivo),o_nosso_tempo_e_hoje_ao_vivo.webp,tudo_o_que_voce_quiser.mp3
Te Vivo,Luan Santana,As Melhores... Até Aqui,as_melhores_ate_aqui.webp,te_vivo.mp3
