title,artist,album,cover,file
Minha Deusa,Zé Vaqueiro,Indícios,indicios.webp,minha_deusa.mp3
Meia Noite,Zé Vaqueiro,Meia Noite,meia_noite.webp,meia_noite.mp3
Se Você Se Entregar,Zé Vaqueiro,Vem Me Amar,vem_me_amar.webp,se_voce_se_entregar.mp3
Volta Comigo BB,Zé Vaqueiro,Volta Comigo BB,volta_comigo_bb.webp,volta_comigo.mp3
Cena de Amor,"Brisa Star, Zé Vaqueiro",Cena de Amor,cena_de_amor.webp,cena_de_amor.mp3
Metade de um Abraço,Zé Vaqueiro,Metade de um Abraço,metade_de_um_abraco.webp,metade_de_um_abraco.mp3
Letícia,Zé Vaqueiro,O Original,o_original.webp,leticia.mp3
Cangote,Zé Vaqueiro,O Original,o_original.webp,cangote.mp3
Foi Amor,Zé Vaqueiro,O Original,o_original.webp,foi_amor.mp3
Meu Mel,Zé Vaqueiro,O Original,o_original.webp,meu_mel.mp3
Eu Tenho Medo,Zé Vaqueiro,O Original,o_original.webp,eu_tenho_medo.mp3
Decida,Zé Vaqueiro,O Original,o_original.webp,decida.mp3
Confidencial,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.webp,confidencial.mp3
Lembrei de Você,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.webp,lembrei_de_voce_2.mp3
Pode Ir,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.webp,pode_ir.mp3
Seu Desprezo,Zé Vaqueiro,O Estouro das Vaquejadas,o_estouro_das_vaquejadas.webp,seu_desprezo.mp3
